Column1,Column2
"Apartament 2 camere, din spate la Vivo",https://www.olx.ro/oferta/apartament-2-camere-din-spate-la-vivo-IDcJ9CP.html#0b428bba20
"Apartament 1 camera, decomandat, zona linistita",https://www.olx.ro/oferta/apartament-1-camera-decomandat-zona-linistita-IDcJ9xd.html#0b428bba20
"apartament nou Buna Ziua 2camere 52mp + balcon 4mp CT gresie, parchet",https://www.olx.ro/oferta/apartament-nou-buna-ziua-2camere-52mp-balcon-4mp-ct-gresie-parchet-IDcRTG6.html#0b428bba20
"Apartament cu 1 camere de vânzare, Floresti",https://www.olx.ro/oferta/apartament-cu-1-camere-de-vanzare-floresti-IDcLYSM.html#0b428bba20
Ap. 2 camere Floresti str. Muzeul Apei,https://www.olx.ro/oferta/ap-2-camere-floresti-str-muzeul-apei-IDcRTuS.html#0b428bba20
"Apartament cu 3 camere de vânzare, Apahida",https://www.olx.ro/oferta/apartament-cu-3-camere-de-vanzare-apahida-IDcJ736.html#0b428bba20
"VA2 71160 Apartament cu gradina, 2 camere, 48 mp, Floresti",https://www.olx.ro/oferta/va2-71160-apartament-cu-gradina-2-camere-48-mp-floresti-IDbgorb.html#0b428bba20
"Apartament 2 camere, Bloc nou, 50Mp, zona Vivo",https://www.olx.ro/oferta/apartament-2-camere-bloc-nou-50mp-zona-vivo-IDbtUj3.html#0b428bba20
"VA2 71460 Apartament 2 camere, 57 mp, Floresti",https://www.olx.ro/oferta/va2-71460-apartament-2-camere-57-mp-floresti-IDbgob2.html#0b428bba20
"Apartament cu 2 camere in Baciu, zona Petrom",https://www.olx.ro/oferta/apartament-cu-2-camere-in-baciu-zona-petrom-IDcLOaW.html#0b428bba20
Apartament 2 camere Floresti,https://www.olx.ro/oferta/apartament-2-camere-floresti-IDcRHWO.html#0b428bba20
"Apartament in bloc nou, 3 camere, de vânzare, în Floresti",https://www.olx.ro/oferta/apartament-in-bloc-nou-3-camere-de-vanzare-in-floresti-IDcpJ9l.html#0b428bba20
"Apartament 2 camere, terasa mare! Zona Donath cu CF!",https://www.olx.ro/oferta/apartament-2-camere-terasa-mare-zona-donath-cu-cf-IDcufut.html#0b428bba20
"VA3 71463 Apartament 3 camere, 63 mp, Floresti",https://www.olx.ro/oferta/va3-71463-apartament-3-camere-63-mp-floresti-ID9qJlP.html#0b428bba20
