Column1,Column2
Apartament cu 3 camere de vânzare în zona Bulgaria,https://www.olx.ro/oferta/apartament-cu-3-camere-de-vanzare-in-zona-bulgaria-IDcKCcS.html#08b0599fc5
Apartament cu 4 camere de vânzare în zona Campului,https://www.olx.ro/oferta/apartament-cu-4-camere-de-vanzare-in-zona-campului-IDd9cvB.html#08b0599fc5
"Casa de tip duplex, zona Iris, Valea Chintaului",https://www.olx.ro/oferta/casa-de-tip-duplex-zona-iris-valea-chintaului-IDd9aTt.html#08b0599fc5
Apartament cu 3 camere in cartierul MANASTUR,https://www.olx.ro/oferta/apartament-cu-3-camere-in-cartierul-manastur-IDd9375.html#08b0599fc5
"Duplex, in spate la Vivo",https://www.olx.ro/oferta/duplex-in-spate-la-vivo-IDd2Kmg.html#08b0599fc5
"Teren, de vânzare, în Grigorescu",https://www.olx.ro/oferta/teren-de-vanzare-in-grigorescu-IDbhI7s.html#08b0599fc5
"Duplex pe doua niveluri, 3 dormitoare, 2 bai, in zona IRIS - Tineterul",https://www.olx.ro/oferta/duplex-pe-doua-niveluri-3-dormitoare-2-bai-in-zona-iris-tineterul-IDd2sVs.html#08b0599fc5
Apartament cu 5 camere de vânzare în zona Manastur,https://www.olx.ro/oferta/apartament-cu-5-camere-de-vanzare-in-zona-manastur-IDcKnfD.html#08b0599fc5
3 camere Gheorgheni,https://www.olx.ro/oferta/3-camere-gheorgheni-ID6RlR0.html#08b0599fc5
"Apartament de vanzare, 4 camere, 111 mp, zona Bulevardul Muncii",https://www.olx.ro/oferta/apartament-de-vanzare-4-camere-111-mp-zona-bulevardul-muncii-IDcbDkb.html#08b0599fc5
