Column1,Column2
"Garsoniera de vanzare, in cartierul Manastur",https://www.olx.ro/oferta/garsoniera-de-vanzare-in-cartierul-manastur-IDcZOj9.html#1679bb9779
"Vand apartament cu 2 camere, zona Floresti, complet mobilat si utilat.",https://www.olx.ro/oferta/vand-apartament-cu-2-camere-zona-floresti-complet-mobilat-si-utilat-IDd9dTY.html#1679bb9779
Apartament cu 2 camere | Direct dezvoltator | Comision 0%,https://www.olx.ro/oferta/apartament-cu-2-camere-direct-dezvoltator-comision-0-IDd9dRo.html#1679bb9779
Apartamet Zorilor Facultatea Medicina 2camere,https://www.olx.ro/oferta/apartamet-zorilor-facultatea-medicina-2camere-IDdbg0T.html#1679bb9779
"Apartament in bloc nou, 2 camere, de vânzare, în Buna Ziua",https://www.olx.ro/oferta/apartament-in-bloc-nou-2-camere-de-vanzare-in-buna-ziua-IDd6eL3.html#1679bb9779
"Apartament 2 camere zona Florilor,Floresti",https://www.olx.ro/oferta/apartament-2-camere-zona-florilor-floresti-IDd6eIh.html#1679bb9779
Apartament cu 1 camere de vânzare în zona Dambul Rotund,https://www.olx.ro/oferta/apartament-cu-1-camere-de-vanzare-in-zona-dambul-rotund-IDcKCdl.html#1679bb9779
Garsoniera 32 mp utili! Zona Kaufland!,https://www.olx.ro/oferta/garsoniera-32-mp-utili-zona-kaufland-IDd6eaR.html#1679bb9779
"Apartament 3 camere, 54 mp! Zona Terra!",https://www.olx.ro/oferta/apartament-3-camere-54-mp-zona-terra-IDbJLgw.html#1679bb9779
"Vanzare 3 camere, 56 mp! Parcare! Zona strazii Florilor!",https://www.olx.ro/oferta/vanzare-3-camere-56-mp-parcare-zona-strazii-florilor-IDbJLfY.html#1679bb9779
